code;syll_lang_swe;syll_lang_eng;content;goals_swe;goals_eng;eligibility;literature;exam_comments;req_for_grade;valid_from;equipment;instruction_lang;cycle;credits;title_swe;title_eng;grade_scale;department;examiner;n_exam_modules;n_course_subjects;ethics_keywords;n_rows;n_ilos;n_higher_grade_ilos;n_purpose_ilos;bloom_knowledge;bloom_comprehension;bloom_application;bloom_analysis;bloom_evaluation;bloom_synthesis;total_highest_bloom
A11HIB;swedish;english;0;1;0;0;0;0;1;0;0;Svenska;1;7.5;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Anders Bergström);2;2;0;7;6;0;0;0;1;2;2;1;0;4
A11IAA;swedish;english;1;1;0;0;0;0;1;0;0;Svenska;1;3.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Leif Brodersen);3;1;0;5;4;0;0;0;0;0;3;1;0;4
A11INA;swedish;NO_ENG_TEXT;1;1;0;1;0;0;1;0;0;Svenska;1;2.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Veronika Ronnefalk);1;1;0;1;0;0;0;0;0;0;0;0;0;-1
A11IYA;swedish;english;1;1;1;0;0;0;1;0;0;Svenska;1;3.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Leif Brodersen);3;1;0;4;3;0;0;0;0;0;2;0;0;3
A11KOB;swedish;english;1;1;0;0;0;0;1;0;0;Svenska;1;3.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Patrick Nilsson);2;1;0;4;3;0;0;0;0;2;0;0;1;5
A11P1B;swedish;english;1;1;0;0;0;0;1;0;0;Svenska;1;8.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Veronika Ronnefalk);1;2;0;6;5;0;0;0;1;2;1;0;1;5
A11P2B;swedish;english;1;1;0;1;0;0;1;0;0;Svenska;1;9.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Veronika Ronnefalk);1;2;0;6;5;0;0;0;1;1;1;0;2;5
A11P3B;swedish;english;1;1;1;1;0;0;1;0;0;Svenska;1;16.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Veronika Ronnefalk);1;2;0;10;9;0;0;0;1;1;2;0;4;5
A11REA;swedish;english;1;1;0;0;0;0;1;0;0;Svenska;1;3.0;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Ulrika Knagenhielm-Karlsson);1;1;0;5;4;0;0;0;0;0;0;1;3;5
A11TEB;swedish;english;1;1;0;0;0;0;1;0;0;Svenska;1;7.5;1;1;PF;ABE/Arkitektur, Gru 1-2-3;(Daniel Widman);2;1;0;8;7;0;0;0;2;0;0;2;1;5
