verb andel;verb;KTH;KTH;MiUn;MiUn;SU;SU;UmU;UmU;sumabs;skaladsumabs;maxabs;skaladmaxabs;Tek;Tek;Nat;Nat;Sam;Sam;Hum;Hum;sumabs;maxabs
0,10%;modellera;0,40%;300,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;600,0%;600000,0%;300,0%;;0,50%;400,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;700,0%;400,0%
0,10%;dimensionera;0,40%;300,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;600,0%;600000,0%;300,0%;;0,50%;400,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;700,0%;400,0%
0,10%;härleda;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;0,50%;400,0%;#N/A;-100,0%;#N/A;-100,0%;700,0%;400,0%
0,10%;bestämma;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;0,50%;400,0%;#N/A;-100,0%;#N/A;-100,0%;700,0%;400,0%
0,10%;bevisa;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;0,50%;400,0%;#N/A;-100,0%;#N/A;-100,0%;700,0%;400,0%
0,20%;uttrycka;#N/A;-100,0%;#N/A;-100,0%;0,40%;100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,90%;350,0%;650,0%;350,0%
0,10%;simulera;0,30%;200,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;500,0%;500000,0%;200,0%;;0,40%;300,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;600,0%;300,0%
0,20%;översätta;#N/A;-100,0%;#N/A;-100,0%;0,40%;100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,80%;300,0%;600,0%;300,0%
0,10%;utnyttja;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;0,40%;300,0%;0,40%;300,0%;#N/A;-100,0%;#N/A;-100,0%;800,0%;300,0%
0,90%;lösa;1,70%;88,9%;0,80%;-11,1%;0,80%;-11,1%;0,80%;-11,1%;122,2%;13580,2%;88,9%;;1,00%;11,1%;3,50%;288,9%;0,40%;-55,6%;0,50%;-44,4%;400,0%;288,9%
0,40%;implementera;0,90%;125,0%;0,40%;0,0%;#N/A;-100,0%;#N/A;-100,0%;325,0%;81250,0%;125,0%;;1,30%;225,0%;0,40%;0,0%;#N/A;-100,0%;#N/A;-100,0%;425,0%;225,0%
0,20%;designa;0,50%;150,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;450,0%;225000,0%;150,0%;;0,60%;200,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;500,0%;200,0%
0,20%;producera;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;200000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,60%;200,0%;500,0%;200,0%
0,10%;återge;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;400,0%;400000,0%;100,0%;;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;0,30%;200,0%;500,0%;200,0%
0,40%;beräkna;1,00%;150,0%;0,40%;0,0%;#N/A;-100,0%;0,40%;0,0%;250,0%;62500,0%;150,0%;;1,20%;200,0%;0,90%;125,0%;#N/A;-100,0%;#N/A;-100,0%;525,0%;200,0%
0,40%;sammanställa;#N/A;-100,0%;0,40%;0,0%;0,50%;25,0%;0,40%;0,0%;125,0%;31250,0%;100,0%;;#N/A;-100,0%;1,20%;200,0%;#N/A;-100,0%;0,30%;-25,0%;425,0%;200,0%
0,30%;konstruera;0,60%;100,0%;0,40%;33,3%;#N/A;-100,0%;#N/A;-100,0%;333,3%;111111,1%;100,0%;;0,90%;200,0%;#N/A;-100,0%;#N/A;-100,0%;#N/A;-100,0%;500,0%;200,0%
